N,P,K,temperature,humidity,ph,rainfall,label
67,68,49,35.26824831,92.38282957,6.8217745889999994,149.8488208,papaya
126,37,21,25.84997269,84.16855231,6.61448588,77.03421249,cotton
18,19,27,27.75518664,52.34605806,4.772385986000001,94.11213345,mango
117,51,15,22.9535715,78.71555832,6.0445565939999994,99.75336197,cotton
82,77,46,28.9470467,82.1888998,5.901100841,95.83016448,banana
53,73,77,19.71359733,18.09665739,7.325451279,73.64476535,chickpea
26,52,23,29.98835437,49.60384796,4.931890506,52.92929636,mothbeans
4,19,43,18.07132963,93.14554876,5.7794274020000005,106.3602023,pomegranate
33,14,8,21.03200078,92.9641969,7.684420446,110.6823944,orange
22,60,85,18.8392908,14.74071856,7.811997977000001,94.78189594,chickpea
34,9,36,22.812264499999998,86.34233767,6.276038961,110.44322930000001,pomegranate
39,42,20,29.3499706,61.25353851,8.055908857999999,40.82840673,mothbeans
19,72,15,28.83600962,69.76112921,6.890760124,44.08562546,lentil
17,29,26,26.14162144,93.28415295,6.071897347,195.41150249999998,coconut
21,39,20,28.14448546,82.1193047,7.064782137999999,46.75690086,mungbean
33,138,198,22.29423493,90.69033986,6.222390797999999,122.7418744,apple
6,18,37,19.65690085,89.93701023,5.937649577999999,108.0458926,pomegranate
40,140,195,14.97846952,80.49979873,6.2943956760000015,71.63437433,grapes
32,130,196,40.66012294,81.24995984,6.372959542,74.03030056,grapes
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean
0,70,21,36.30049702,56.03021253,4.6724370539999995,101.6073988,pigeonpeas
105,60,23,23.53371386,77.21705554,6.207652157,87.54004943,cotton
16,14,30,29.70931288,96.30484325,6.37466756,209.84539930000003,coconut
23,6,33,29.18032562,92.73041222,6.025789594,204.96036769999998,coconut
27,13,6,13.36050601,91.35608208,7.335158382,111.2266885,orange
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice
112,39,29,26.12492233,63.37479229,6.726528895,147.8035305,coffee
100,56,40,26.38905406,83.31240346,7.433313409,176.1516409,jute
9,56,17,26.13708256,66.7729209,6.261937875,46.48280681,lentil
74,49,38,23.31410442,71.4509053,7.4880144039999985,164.49703730000004,jute
116,71,47,27.57278064,82.0638878,6.435785799,91.34276507,banana
12,31,26,35.7877738,51.94190321,5.395275719,100.2160615,mango
29,72,24,23.17409556,36.67847052,6.962386495,162.5931264,pigeonpeas
13,61,24,18.29783597,69.6897615,7.629910252999999,49.39111479,lentil
7,16,9,18.87957654,92.04304496,7.813916602999999,114.6659511,orange
17,16,14,16.39624284,92.18151927,6.625538653,102.944161,orange
91,84,52,29.14827211,78.71024836,6.390741836,117.536781,banana
15,27,28,33.80398664,46.12866113,4.507523551,90.82549241,mango
9,48,20,29.66461594,84.28187572,6.377568542000001,56.09542002,mungbean
122,59,18,23.5000992,83.63488952,6.219469084,79.81328183,cotton
73,45,21,24.60532218,73.58868502,6.636803222999999,96.59195302,maize
2,120,203,23.12652652,94.71203306,5.893492998999999,108.62118329999998,apple
90,39,37,24.81441246,81.68688879,6.86106911,190.78863859999998,jute
87,23,28,26.22367404,62.26594559,6.979590627,193.7461968,coffee
21,9,40,24.51147697,90.64498715,5.956401828,105.62099540000001,pomegranate
18,55,23,21.9989826,56.31006755,6.98571967,136.82743119999998,pigeonpeas
11,36,33,35.99009679,52.22780489,5.978634285,95.3713484,mango
8,26,36,18.78359608,87.4024767,6.804781106,102.51847590000001,pomegranate
11,132,197,15.99050693,81.23966573,5.7343170070000005,74.40198861,grapes
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice
60,55,40,24.9949957,88.95692783,7.02777956,151.4935635,jute
115,11,46,24.41592661,89.39655519,6.623167177000001,40.32161859,watermelon
106,49,24,23.03887865,76.47039772,6.983395572999999,90.64770699,cotton
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize
89,57,43,26.91515043,73.19897535,6.998787171,177.22330480000005,jute
10,59,22,28.60901145,86.99495766,7.1556850160000005,36.94616965,mungbean
67,35,22,23.30546753,63.24648023,6.385684213999999,108.7603001,maize
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice
30,25,31,26.31270635,98.62048026,5.804965067,208.1181381,coconut
95,57,41,23.24925555,73.65346838,6.434610995,184.7674863,jute
33,47,17,24.86803974,48.27531965,8.621514073,63.9187654,mothbeans
117,79,49,25.40909896,82.36208097,6.176644228,112.9794804,banana
108,35,25,23.98143338,61.10935084,6.9719631689999995,161.5279095,coffee
117,30,50,24.90123934,87.20772913,6.744966312000001,46.59207341,watermelon
37,11,36,24.24779615,85.56033312,6.710143266,106.9216033,pomegranate
14,57,15,29.8757015,83.14796296,6.623438282,40.12044158,mungbean
85,33,25,26.20811417,52.50987966,6.910823945,189.0944824,coffee
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,rice
22,30,12,15.78144173,92.51077745,6.354006743999999,119.035002,orange
26,27,10,28.06903173,92.91487288,6.079998496,114.1339416,orange
44,60,55,34.2804607,90.55561637,6.825371185,98.54047745,papaya
134,56,18,23.80834611,83.91902605,6.691268104,70.97358303,cotton
1,132,200,16.27852801,82.94270065,5.620745638,66.57462809,grapes
18,17,31,31.74592134,45.16127859,5.667507706,93.75441586,mango
30,17,31,31.20478173,54.49960506,6.804437106,94.62954663,mango
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize
7,23,35,19.75088482,88.71691157,7.054313822999999,102.5538035,pomegranate
34,71,79,17.927806,15.85622899,7.728998197,74.63872762,chickpea
11,40,23,29.61253065,63.04749127,5.80428611,50.197826899999995,mothbeans
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice
111,87,48,26.3985515,81.36028902,5.571401169,98.16752001,banana
95,74,50,25.90113128,80.47152737,6.002481605,110.10323000000001,banana
22,67,22,29.03017561,64.49166566,7.475926645,54.93937710000001,lentil
56,59,55,37.03551903,91.79430166,6.551892637999999,188.51814219999997,papaya
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice
3,136,205,17.5862944,80.84806564,6.334771461,71.40654520000002,grapes
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize
5,23,15,25.66901098,92.04670813,7.408939392000001,112.5424199,orange
102,28,54,25.15623099,80.27525115,6.862157042000001,55.49541453,watermelon
84,39,35,23.17714381,52.13864034,6.959404135,117.31135619999999,coffee
102,73,54,26.4020227,84.41007614,5.720726906,111.01622590000001,banana
30,127,204,22.50050273,92.45878335,6.1264365839999995,100.93439029999999,apple
77,36,37,26.88444878,81.46033732,6.136131869,194.57665590000002,rice
0,65,15,23.46168338,23.22197648,5.645435626,95.84253438,kidneybeans
31,30,29,26.58580443,90.98617591,5.558807063,178.8116076,coconut
26,18,27,27.45907759,92.90736493,5.8360753679999995,142.1430003,coconut
22,9,44,24.72235539,88.87651295,5.744361602000001,112.1926517,pomegranate
27,60,17,26.41768321,63.64698302,7.026795358999999,64.42177127,blackgram
69,51,23,22.21738222,72.85462807,6.80163854,106.62131570000001,maize
111,53,19,23.96436009,78.02763149,6.419536555,84.63148859,cotton
109,21,55,24.900460199999998,89.73524177,6.7702780879999995,57.44942094,watermelon
23,21,26,26.45488737,93.45042636,5.901495543999999,149.2220255,coconut
27,72,23,19.92889503,21.79992115,5.961934481,64.02640797,kidneybeans
118,88,52,28.65003945,82.68752542,5.8431631610000005,98.75084366,banana
107,72,45,28.14938935,81.54448882,5.790768046,91.40508414,banana
39,21,9,13.20844373,94.02769434,6.354022554,106.2696156,orange
84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice
116,38,34,23.29250318,50.04557009,6.020947179,183.46858500000002,coffee
94,50,37,25.66585205,80.66385045,6.94801983,209.58697080000002,rice
34,60,23,20.12574053,24.96969858,5.659254981,100.0497183,kidneybeans
22,79,17,21.42451099,20.39659714,5.912289889,116.5206923,kidneybeans
17,59,17,18.416700100000003,23.42829938,5.6898581329999995,132.9801054,kidneybeans
31,72,17,28.69180475,49.47225353,5.833031707999999,96.36222901,pigeonpeas
37,74,15,24.92360104,18.22590825,5.582178402,62.7089169,kidneybeans
12,129,205,22.36238282,91.15761594,6.119432215,118.68327250000002,apple
119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,banana
84,36,28,26.735062199999998,55.55164819,6.119892347,140.63052130000003,coffee
80,18,31,24.02952505,58.84880599,7.303033217,134.6803969,coffee
2,143,196,22.71271308,90.45261746,5.669489065,109.8852597,apple
52,60,79,19.45339934,18.23490739,8.380185271,75.6317566,chickpea
87,21,52,27.350629600000005,94.29119509999998,6.067665497999999,27.21244021,muskmelon
14,67,25,25.28710601,60.85993533,7.2411519360000005,49.37369982,lentil
11,45,19,28.70012137,44.359648,3.8280314630000003,44.11622138,mothbeans
21,29,12,22.30318989,92.15987039,6.438668989,117.3688104,orange
0,67,22,29.82112112,69.4073209,6.5937983870000005,51.56461082,lentil
27,71,23,23.45379018,46.48714759,7.10959773,150.87122019999995,pigeonpeas
35,142,203,21.17089176,90.23730166,5.895319002000001,123.6495149,apple
33,139,203,33.34214482,82.51034633,5.693287415,70.68098614,grapes
18,9,40,19.44623085,89.02127045,5.627186257000001,106.16068329999999,pomegranate
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize
91,41,37,24.48556447,83.20630007,6.132570522999999,192.23162209999998,jute
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,mungbean
44,75,22,30.0328403,64.14800537,7.574561547,71.21006868,blackgram
117,19,55,28.80311922,91.78336933,6.121745389,25.16359891,muskmelon
101,87,54,29.07311132,76.50045221,6.376756632999999,100.1692639,banana
36,128,204,25.23542319,80.68700527,5.695792761,67.03840888,grapes
29,44,20,30.04132304,63.56222995,8.620107545,31.83192392,mothbeans
40,49,17,31.02215872,45.89239456,6.68727523,53.56783314,mothbeans
40,30,35,20.89273273,91.07776977,6.269663962999999,104.4407083,pomegranate
13,7,43,18.20230419,91.12282162,7.013481515,109.66239740000002,pomegranate
22,26,38,22.92052307,85.12912161,6.988035315,110.2437841,pomegranate
84,51,35,22.30157427,80.64416466,6.043304899,197.97912150000002,rice
71,54,35,26.63952463,70.95705996,7.311077075,199.33557439999998,jute
72,41,36,26.50838667,86.84264005,6.065898282999999,152.9801697,jute
27,10,33,27.81132822,97.48410555,6.4659063329999995,154.06212209999995,coconut
98,7,45,27.79161808,92.51054946,6.157724816,26.85422624,muskmelon
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize
89,41,38,23.12844351,74.68322732,6.344751947000001,199.83629130000003,jute
100,80,52,27.53911354,77.25629897,6.049801781,110.3262123,banana
8,50,21,28.62911222,89.11480590000002,6.2189238929999995,50.49913241,mungbean
135,43,16,23.47986888,81.73049149,6.720449769,86.76287924,cotton
40,45,20,29.37687468,57.69622912,6.878498176,38.34303462,mothbeans
60,36,43,23.43121862,83.06310136,5.286203711000001,219.9048349,rice
1,124,199,23.71059131,93.27392415,5.658473817000001,112.66765890000002,apple
61,51,51,39.30050027,94.16193416,6.574677594,120.9512466,papaya
22,68,16,27.70496805,63.20915034,7.74672376,37.46160727,lentil
107,22,54,27.99611732,90.84660317,6.630301421,21.61893763,muskmelon
115,18,53,29.17052093,94.19790371,6.0124803510000016,22.06994464,muskmelon
39,139,201,41.18664903,81.01783402,5.5399808120000005,68.68895899,grapes
14,18,35,31.09154239,47.02058367,4.791146778,91.46664318,mango
35,64,78,17.92845928,14.27327988,7.496645259,85.37378769,chickpea
120,7,47,24.24782473,83.03687902,6.653867608,54.76576239999999,watermelon
103,72,51,26.12643374,81.81365007,6.099478745,104.4812858,banana
114,21,55,25.4438391,87.93923120000002,6.472756256,57.51549686,watermelon
9,59,24,20.43517772,39.37252634,4.747352458,137.22796619999997,pigeonpeas
6,13,9,34.51423957,90.56151463,7.786725333,118.32719679999998,orange
61,41,44,24.36972377,82.11319791,6.537914957999999,159.92109340000005,jute
13,73,20,30.50420876,35.48885969,5.391560417999999,162.59277230000004,pigeonpeas
16,18,26,28.43647052,91.81320717,5.568365926,145.54144130000003,coconut
14,69,19,20.95628486,63.68128841,7.239455147,52.39881209,lentil
108,23,51,26.84366082,83.85039964,6.106500787000001,40.228644,watermelon
39,140,203,21.11903604,80.63399198,6.349875906,69.27779761,grapes
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice
22,138,195,27.83487131,83.51444973,6.208196881,73.02882766,grapes
101,33,33,26.97251562,62.0183627,6.908671378999999,142.8610793,coffee
35,57,25,27.0956288,42.26206161,8.340398059,71.12710390000002,mothbeans
63,42,21,23.26237612,72.33125523,5.798423907999999,67.10225139,maize
114,8,50,24.74631269,88.30866319,6.581587932000001,57.95826144,watermelon
27,30,31,28.98545306,90.73966792,5.7181203929999995,148.8398374,coconut
0,25,14,19.33516809,91.97978938,6.361671475,116.450422,orange
113,28,48,28.87726019,92.48839665,6.170520517999999,24.44267592,muskmelon
39,73,24,25.65842532,61.18235808,7.22405917,69.28607828,blackgram
40,59,23,36.89163721,62.73178224,5.269084669,163.7266551,pigeonpeas
4,43,18,29.02955344,61.09387478,8.840656256,72.98016599,mothbeans
6,62,22,20.53052663,18.09224048,5.824090984,120.4509288,kidneybeans
19,30,30,29.56549169,91.40896307,5.826381164,224.83157290000003,coconut
25,35,20,28.90245417,43.35365671,8.923095695,71.90018566,mothbeans
71,52,18,25.10787449,55.97732754,5.790770202999999,78.16077693,maize
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,banana
18,30,29,26.76274930000001,92.86056895,6.4200187170000005,224.5903664,coconut
22,56,17,29.87888063,87.32761241,6.89077995,44.75215854,mungbean
28,35,22,29.53037621,86.73346018,7.156563094,59.87232071,mungbean
4,46,15,31.01274943,62.40392519,3.5047523139999996,63.77192383,mothbeans
8,15,33,28.97318719,98.09861043,5.50158009,213.90110209999997,coconut
86,79,45,27.81251452,82.69285419,5.80766417,99.20961514,banana
4,67,25,23.78709569,24.35679348,5.948164454,119.6404412,kidneybeans
107,58,15,23.73868041,75.77503808,7.55606399,76.63669195,cotton
90,48,45,24.06475727,71.31342851,6.509174788999999,153.63902119999997,jute
93,43,38,23.61475336,86.14290267,6.987332927000001,150.2355238,jute
2,24,38,24.55981624,91.63536236,5.922935513,111.96846219999999,pomegranate
111,40,25,24.48469200000001,84.44932014,6.187455798999999,90.94342484,cotton
59,47,53,32.86316618,91.46188740000001,6.8506632320000005,47.271547,papaya
88,29,51,24.71885473,88.94568335,6.095689937,48.45978627,watermelon
38,55,19,33.18184225,38.23184742,5.864623352000001,198.8298806,pigeonpeas
81,36,38,23.76554749,87.98329901,6.334837865,150.31661519999997,jute
127,53,24,22.21506982,76.17851932,6.127939627999999,70.40557612,cotton
7,40,17,31.212394500000002,40.92604945,8.532078732999999,53.78769958,mothbeans
38,61,21,30.27374995,67.38680755,4.696518678,127.7767134,pigeonpeas
116,28,34,23.44372334,60.39523266,6.42321105,122.2103248,coffee
113,37,20,25.03300222,79.04368718,7.393441155,97.10087029,cotton
66,54,21,25.19008683,60.200168700000006,5.919045532,72.12375573,maize
31,13,33,29.69952329,95.21224392,6.342463714,148.30036919999995,coconut
118,21,34,24.38534644,64.72543073,7.234258375,119.63241090000001,coffee
103,27,31,27.15998538,51.59100753,6.691541233,126.1752206,coffee
23,37,24,28.77833449,44.2252605,7.991902443,33.95825723,mothbeans
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,chickpea
63,58,22,18.25405352,55.28220433,6.204747652999999,63.72358154,maize
69,57,35,24.30748599,78.54340987,6.1868143920000005,186.2337571,jute
12,66,20,27.41434987,63.41785982,7.336117221,44.43177543,lentil
112,25,51,25.04746944,85.5667282,6.932537231,56.72496677,watermelon
24,131,196,22.03296178,83.74372787,5.732453638,65.34440794,grapes
9,17,32,25.94951662,93.40548703,5.842317989,172.0540491,coconut
53,65,76,20.19137759,16.41998269,8.719960893,77.33795356,chickpea
17,136,196,23.87192332,90.49939035,5.882155987999999,103.05480940000001,apple
0,145,205,21.22503442,90.09877774,5.52078314,113.9760462,apple
29,22,40,23.62600218,89.73266695,6.145104401,107.6836871,pomegranate
38,21,35,20.33691147,89.38003827,5.841367187,110.96531370000001,pomegranate
27,73,79,19.16288268,15.83500655,7.354973451,82.69766829,chickpea
8,28,30,25.51618488,94.33465411,6.015672239,135.1272491,coconut
107,21,26,26.45288458,55.32222678,7.235070264,144.68613359999995,coffee
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,chickpea
108,94,47,27.35911627,84.54625006,6.387431382999999,90.81250457,banana
11,71,24,21.14011423,22.718235500000002,5.6066203460000015,141.6056722,kidneybeans
72,42,43,26.56767277,80.90424543,6.352771037,181.2915605,jute
27,69,22,17.91652287,24.90814655,5.932323085,69.14681022,kidneybeans
120,25,50,28.05457761,94.81637388,6.327210469,21.84869328,muskmelon
2,21,44,18.92157197,87.31290342,6.56893406,102.8013275,pomegranate
87,6,45,29.82729394,90.79007335,6.40077205,22.84203589,muskmelon
32,68,19,24.62835037,18.18325169,5.514234138,149.7441028,kidneybeans
82,22,45,26.22338015,85.34866045,6.512196212,54.60159289,watermelon
52,65,20,32.81705216,66.15665137,6.814301033,68.83924882,blackgram
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,chickpea
107,12,46,29.57240298,93.61870344,6.559763394,27.56918621,muskmelon
28,66,23,21.53989176,24.25386207,5.99616119,120.6913038,kidneybeans
91,7,53,25.13735887,89.28272716,6.457216535,43.52897517,watermelon
90,92,55,27.00932084,80.18546798,6.13465588,97.32531705,banana
74,35,40,26.49109635,80.15836264,6.980400905,242.86403419999996,rice
116,40,33,24.91370487,54.15319242,7.042089492000001,129.5481144,coffee
104,47,18,23.965634899999998,76.97696717,7.633437412,90.75616738,cotton
27,22,29,28.83214859,92.17170353,6.000248647,145.41723869999996,coconut
26,56,22,23.05276444,60.424786,7.011121216,52.60285259,lentil
0,21,32,35.89855625,54.25964196,6.430139436,92.19721736,mango
2,123,198,39.64851881,82.21079946,6.253034534,70.39906054,grapes
29,122,196,41.94865736,81.15595212,5.638328481,73.06862952,grapes
28,37,28,32.13409675,50.52559148,6.097869767000001,98.63333684,mango
32,70,20,20.89342749,46.24856523,6.208843215,195.5697875,pigeonpeas
18,23,8,21.49118657,93.43949693,6.41354791,101.4819888,orange
25,27,41,19.20090378,94.27659596,6.9235093710000015,108.0423555,pomegranate
49,55,51,24.87212063,93.90560147,6.676578778,135.16945249999998,papaya
70,68,55,42.84609252,94.63548176,6.691202286,78.80996390000001,papaya
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice
25,143,198,22.81212536,91.51861705,6.027314401,107.855225,apple
85,21,52,29.62800691,90.10051615,6.0751441160000015,23.69586761,muskmelon
103,17,51,25.11189154,80.02621335,6.209888345,44.20656987,watermelon
21,39,20,27.06179658,52.300317299999996,7.388007482999999,60.74583498,mothbeans
4,59,22,29.33743412,49.00323081,8.914074888,42.44054315,mothbeans
10,79,18,21.0643684,55.46985938,5.624731337999999,184.6226709,pigeonpeas
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize
35,57,83,19.48316794,17.44534641,7.476800943,80.4986291,chickpea
103,33,25,27.10210397,55.74973320000001,6.911066044,139.5013171,coffee
29,140,195,23.64082979,90.95257927,5.560521058,116.74313190000001,apple
132,41,22,24.29144926,81.02453404,7.810865753,90.41694635,cotton
108,88,55,26.28845991,83.390039,5.891458107,113.8729798,banana
31,26,9,11.69894639,93.25638873,7.566165721,103.20059920000001,orange
26,67,16,29.10713092,67.90577375,7.17620823,67.83345933,blackgram
35,131,203,22.42776057,93.91722423,5.893490899,102.7230739,apple
84,38,43,26.57421679,73.81994896,7.26158085,159.3223075,jute
